"Tabela 3218 - Domicílios particulares permanentes, por forma de abastecimento de água, segundo a existência de banheiro ou sanitário e esgotamento sanitário, o destino do lixo e a existência de energia elétrica"
"Variável - Domicílios particulares permanentes - percentual do total geral"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Ano x Forma de abastecimento de água x Existência de banheiro ou sanitário e esgotamento sanitário"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"2010"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Rede geral"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Total"
"1505486";"Pacajá (PA)";"Total";"Total";"2,32"
"1505494";"Palestina do Pará (PA)";"Total";"Total";"72,45"
"1505502";"Paragominas (PA)";"Total";"Total";"54,70"
"1505536";"Parauapebas (PA)";"Total";"Total";"73,08"
"1505551";"Pau D'Arco (PA)";"Total";"Total";"24,73"
"1505601";"Peixe-Boi (PA)";"Total";"Total";"60,39"
"1505635";"Piçarra (PA)";"Total";"Total";"6,47"
"1505650";"Placas (PA)";"Total";"Total";"6,11"
"1505700";"Ponta de Pedras (PA)";"Total";"Total";"50,33"
"1505809";"Portel (PA)";"Total";"Total";"21,36"
"1505908";"Porto de Moz (PA)";"Total";"Total";"50,23"
"1506005";"Prainha (PA)";"Total";"Total";"47,53"
"1506104";"Primavera (PA)";"Total";"Total";"69,21"
"1506112";"Quatipuru (PA)";"Total";"Total";"32,77"
"1506138";"Redenção (PA)";"Total";"Total";"22,73"
"1506161";"Rio Maria (PA)";"Total";"Total";"21,18"
"1506187";"Rondon do Pará (PA)";"Total";"Total";"76,23"
"1506195";"Rurópolis (PA)";"Total";"Total";"30,15"
"1506203";"Salinópolis (PA)";"Total";"Total";"64,93"
"1506302";"Salvaterra (PA)";"Total";"Total";"79,47"
"1506351";"Santa Bárbara do Pará (PA)";"Total";"Total";"67,89"
"1506401";"Santa Cruz do Arari (PA)";"Total";"Total";"81,88"
"1506500";"Santa Izabel do Pará (PA)";"Total";"Total";"65,18"
"1506559";"Santa Luzia do Pará (PA)";"Total";"Total";"13,52"
"1506583";"Santa Maria das Barreiras (PA)";"Total";"Total";"19,98"
"1506609";"Santa Maria do Pará (PA)";"Total";"Total";"76,16"
"1506708";"Santana do Araguaia (PA)";"Total";"Total";"5,73"
"1506807";"Santarém (PA)";"Total";"Total";"59,07"
"1506906";"Santarém Novo (PA)";"Total";"Total";"72,72"
"1507003";"Santo Antônio do Tauá (PA)";"Total";"Total";"78,44"
"1507102";"São Caetano de Odivelas (PA)";"Total";"Total";"70,82"
"1507151";"São Domingos do Araguaia (PA)";"Total";"Total";"65,20"
"1507201";"São Domingos do Capim (PA)";"Total";"Total";"46,13"
"1507300";"São Félix do Xingu (PA)";"Total";"Total";"6,32"
"1507409";"São Francisco do Pará (PA)";"Total";"Total";"61,14"
"1507458";"São Geraldo do Araguaia (PA)";"Total";"Total";"49,33"
"1507466";"São João da Ponta (PA)";"Total";"Total";"79,41"
"1507474";"São João de Pirabas (PA)";"Total";"Total";"61,71"
"1507508";"São João do Araguaia (PA)";"Total";"Total";"36,79"
"1507607";"São Miguel do Guamá (PA)";"Total";"Total";"35,66"
"1507706";"São Sebastião da Boa Vista (PA)";"Total";"Total";"28,77"
"1507755";"Sapucaia (PA)";"Total";"Total";"74,70"
"1507805";"Senador José Porfírio (PA)";"Total";"Total";"47,73"
"1507904";"Soure (PA)";"Total";"Total";"75,82"
"1507953";"Tailândia (PA)";"Total";"Total";"29,53"
"1507961";"Terra Alta (PA)";"Total";"Total";"79,92"
"1507979";"Terra Santa (PA)";"Total";"Total";"78,66"
"1508001";"Tomé-Açu (PA)";"Total";"Total";"60,87"
"1508035";"Tracuateua (PA)";"Total";"Total";"25,96"
"1508050";"Trairão (PA)";"Total";"Total";"1,24"
"1508084";"Tucumã (PA)";"Total";"Total";"41,93"
"1508100";"Tucuruí (PA)";"Total";"Total";"82,64"
"1508126";"Ulianópolis (PA)";"Total";"Total";"39,77"
"1508159";"Uruará (PA)";"Total";"Total";"0,85"
"1508209";"Vigia (PA)";"Total";"Total";"43,28"
"1508308";"Viseu (PA)";"Total";"Total";"34,76"
"1508357";"Vitória do Xingu (PA)";"Total";"Total";"20,67"
"1508407";"Xinguara (PA)";"Total";"Total";"14,31"
"1600055";"Serra do Navio (AP)";"Total";"Total";"67,71"
"1600105";"Amapá (AP)";"Total";"Total";"12,23"
"1600154";"Pedra Branca do Amapari (AP)";"Total";"Total";"29,85"
"1600204";"Calçoene (AP)";"Total";"Total";"38,60"
"1600212";"Cutias (AP)";"Total";"Total";"71,22"
"1600238";"Ferreira Gomes (AP)";"Total";"Total";"68,57"
"1600253";"Itaubal (AP)";"Total";"Total";"58,23"
"1600279";"Laranjal do Jari (AP)";"Total";"Total";"88,25"
"1600303";"Macapá (AP)";"Total";"Total";"54,17"
"1600402";"Mazagão (AP)";"Total";"Total";"23,17"
"1600501";"Oiapoque (AP)";"Total";"Total";"15,16"
"1600535";"Porto Grande (AP)";"Total";"Total";"19,19"
"1600550";"Pracuúba (AP)";"Total";"Total";"26,47"
"1600600";"Santana (AP)";"Total";"Total";"68,92"
"1600709";"Tartarugalzinho (AP)";"Total";"Total";"31,21"
"1600808";"Vitória do Jari (AP)";"Total";"Total";"65,36"
"1700251";"Abreulândia (TO)";"Total";"Total";"56,97"
"1700301";"Aguiarnópolis (TO)";"Total";"Total";"86,61"
"1700350";"Aliança do Tocantins (TO)";"Total";"Total";"60,44"
"1700400";"Almas (TO)";"Total";"Total";"71,14"
"1700707";"Alvorada (TO)";"Total";"Total";"75,95"
"1701002";"Ananás (TO)";"Total";"Total";"84,36"
"1701051";"Angico (TO)";"Total";"Total";"75,65"
"1701101";"Aparecida do Rio Negro (TO)";"Total";"Total";"75,92"
"1701309";"Aragominas (TO)";"Total";"Total";"46,19"
"1701903";"Araguacema (TO)";"Total";"Total";"60,89"
"1702000";"Araguaçu (TO)";"Total";"Total";"59,49"
"1702109";"Araguaína (TO)";"Total";"Total";"93,13"
"1702158";"Araguanã (TO)";"Total";"Total";"75,66"
"1702208";"Araguatins (TO)";"Total";"Total";"72,62"
"1702307";"Arapoema (TO)";"Total";"Total";"78,95"
"1702406";"Arraias (TO)";"Total";"Total";"67,46"
"1702554";"Augustinópolis (TO)";"Total";"Total";"85,93"
"1702703";"Aurora do Tocantins (TO)";"Total";"Total";"72,58"
"1702901";"Axixá do Tocantins (TO)";"Total";"Total";"91,23"
"1703008";"Babaçulândia (TO)";"Total";"Total";"50,12"
"1703057";"Bandeirantes do Tocantins (TO)";"Total";"Total";"65,25"
"1703073";"Barra do Ouro (TO)";"Total";"Total";"65,19"
"1703107";"Barrolândia (TO)";"Total";"Total";"82,76"
"1703206";"Bernardo Sayão (TO)";"Total";"Total";"64,14"
"1703305";"Bom Jesus do Tocantins (TO)";"Total";"Total";"66,86"
"1703602";"Brasilândia do Tocantins (TO)";"Total";"Total";"85,25"
"1703701";"Brejinho de Nazaré (TO)";"Total";"Total";"62,06"
"1703800";"Buriti do Tocantins (TO)";"Total";"Total";"93,25"
"1703826";"Cachoeirinha (TO)";"Total";"Total";"86,96"
"1703842";"Campos Lindos (TO)";"Total";"Total";"61,11"
"1703867";"Cariri do Tocantins (TO)";"Total";"Total";"56,89"
"1703883";"Carmolândia (TO)";"Total";"Total";"50,30"
"1703891";"Carrasco Bonito (TO)";"Total";"Total";"86,46"
"1703909";"Caseara (TO)";"Total";"Total";"52,50"
"1704105";"Centenário (TO)";"Total";"Total";"58,97"
"1704600";"Chapada de Areia (TO)";"Total";"Total";"53,08"
"1705102";"Chapada da Natividade (TO)";"Total";"Total";"45,85"
"1705508";"Colinas do Tocantins (TO)";"Total";"Total";"92,60"
"1705557";"Combinado (TO)";"Total";"Total";"91,44"
"1705607";"Conceição do Tocantins (TO)";"Total";"Total";"67,70"
"1706001";"Couto Magalhães (TO)";"Total";"Total";"49,75"
"1706100";"Cristalândia (TO)";"Total";"Total";"78,72"
"1706258";"Crixás do Tocantins (TO)";"Total";"Total";"49,18"
"1706506";"Darcinópolis (TO)";"Total";"Total";"70,24"
"1707009";"Dianópolis (TO)";"Total";"Total";"86,34"
"1707108";"Divinópolis do Tocantins (TO)";"Total";"Total";"66,31"
"1707207";"Dois Irmãos do Tocantins (TO)";"Total";"Total";"40,04"
"1707306";"Dueré (TO)";"Total";"Total";"60,58"
"1707405";"Esperantina (TO)";"Total";"Total";"73,80"
"1707553";"Fátima (TO)";"Total";"Total";"69,86"
"1707652";"Figueirópolis (TO)";"Total";"Total";"59,23"
"1707702";"Filadélfia (TO)";"Total";"Total";"62,27"
"1708205";"Formoso do Araguaia (TO)";"Total";"Total";"57,71"
"1708254";"Tabocão (TO)";"Total";"Total";"82,41"
"1708304";"Goianorte (TO)";"Total";"Total";"38,86"
"1709005";"Goiatins (TO)";"Total";"Total";"63,08"
"1709302";"Guaraí (TO)";"Total";"Total";"88,33"
"1709500";"Gurupi (TO)";"Total";"Total";"84,47"
"1709807";"Ipueiras (TO)";"Total";"Total";"69,69"
"1710508";"Itacajá (TO)";"Total";"Total";"73,09"
"1710706";"Itaguatins (TO)";"Total";"Total";"70,62"
"1710904";"Itapiratins (TO)";"Total";"Total";"35,95"
"1711100";"Itaporã do Tocantins (TO)";"Total";"Total";"58,98"
"1711506";"Jaú do Tocantins (TO)";"Total";"Total";"51,27"
"1711803";"Juarina (TO)";"Total";"Total";"46,31"
"1711902";"Lagoa da Confusão (TO)";"Total";"Total";"49,30"
"1711951";"Lagoa do Tocantins (TO)";"Total";"Total";"73,53"
"1712009";"Lajeado (TO)";"Total";"Total";"68,16"
"1712157";"Lavandeira (TO)";"Total";"Total";"60,61"
"1712405";"Lizarda (TO)";"Total";"Total";"59,57"
"1712454";"Luzinópolis (TO)";"Total";"Total";"78,54"
"1712504";"Marianópolis do Tocantins (TO)";"Total";"Total";"63,18"
"1712702";"Mateiros (TO)";"Total";"Total";"64,39"
"1712801";"Maurilândia do Tocantins (TO)";"Total";"Total";"62,71"
"1713205";"Miracema do Tocantins (TO)";"Total";"Total";"84,80"
"1713304";"Miranorte (TO)";"Total";"Total";"85,91"
"1713601";"Monte do Carmo (TO)";"Total";"Total";"43,02"
"1713700";"Monte Santo do Tocantins (TO)";"Total";"Total";"47,96"
"1713809";"Palmeiras do Tocantins (TO)";"Total";"Total";"57,06"
"1713957";"Muricilândia (TO)";"Total";"Total";"57,60"
"1714203";"Natividade (TO)";"Total";"Total";"76,70"
"1714302";"Nazaré (TO)";"Total";"Total";"89,62"
"1714880";"Nova Olinda (TO)";"Total";"Total";"69,55"
"1715002";"Nova Rosalândia (TO)";"Total";"Total";"60,76"
"1715101";"Novo Acordo (TO)";"Total";"Total";"80,00"
"1715150";"Novo Alegre (TO)";"Total";"Total";"79,54"
"1715259";"Novo Jardim (TO)";"Total";"Total";"81,04"
"1715507";"Oliveira de Fátima (TO)";"Total";"Total";"69,59"
"1715705";"Palmeirante (TO)";"Total";"Total";"37,32"
"1715754";"Palmeirópolis (TO)";"Total";"Total";"76,21"
"1716109";"Paraíso do Tocantins (TO)";"Total";"Total";"86,87"
