"Tabela 3218 - Domicílios particulares permanentes, por forma de abastecimento de água, segundo a existência de banheiro ou sanitário e esgotamento sanitário, o destino do lixo e a existência de energia elétrica"
"Variável - Domicílios particulares permanentes - percentual do total geral"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Ano x Forma de abastecimento de água x Existência de banheiro ou sanitário e esgotamento sanitário"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"2010"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Total"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Tinham banheiro - de uso exclusivo do domicílio - rede geral de esgoto ou pluvial ou fossa séptica"
"1500107";"Abaetetuba (PA)";"Total";"Total";"16,89"
"1500131";"Abel Figueiredo (PA)";"Total";"Total";"9,21"
"1500206";"Acará (PA)";"Total";"Total";"4,87"
"1500305";"Afuá (PA)";"Total";"Total";"3,26"
"1500347";"Água Azul do Norte (PA)";"Total";"Total";"20,23"
"1500404";"Alenquer (PA)";"Total";"Total";"20,00"
"1500503";"Almeirim (PA)";"Total";"Total";"33,77"
"1500602";"Altamira (PA)";"Total";"Total";"18,18"
"1500701";"Anajás (PA)";"Total";"Total";"9,25"
"1500800";"Ananindeua (PA)";"Total";"Total";"54,09"
"1500859";"Anapu (PA)";"Total";"Total";"1,44"
"1500909";"Augusto Corrêa (PA)";"Total";"Total";"25,82"
"1500958";"Aurora do Pará (PA)";"Total";"Total";"17,86"
"1501006";"Aveiro (PA)";"Total";"Total";"7,89"
"1501105";"Bagre (PA)";"Total";"Total";"2,59"
"1501204";"Baião (PA)";"Total";"Total";"22,29"
"1501253";"Bannach (PA)";"Total";"Total";"1,83"
"1501303";"Barcarena (PA)";"Total";"Total";"28,70"
"1501402";"Belém (PA)";"Total";"Total";"66,38"
"1501451";"Belterra (PA)";"Total";"Total";"21,07"
"1501501";"Benevides (PA)";"Total";"Total";"17,00"
"1501576";"Bom Jesus do Tocantins (PA)";"Total";"Total";"12,32"
"1501600";"Bonito (PA)";"Total";"Total";"12,73"
"1501709";"Bragança (PA)";"Total";"Total";"13,99"
"1501725";"Brasil Novo (PA)";"Total";"Total";"2,38"
"1501758";"Brejo Grande do Araguaia (PA)";"Total";"Total";"7,27"
"1501782";"Breu Branco (PA)";"Total";"Total";"5,16"
"1501808";"Breves (PA)";"Total";"Total";"7,35"
"1501907";"Bujaru (PA)";"Total";"Total";"9,09"
"1501956";"Cachoeira do Piriá (PA)";"Total";"Total";"2,18"
"1502004";"Cachoeira do Arari (PA)";"Total";"Total";"36,94"
"1502103";"Cametá (PA)";"Total";"Total";"11,21"
"1502152";"Canaã dos Carajás (PA)";"Total";"Total";"34,49"
"1502202";"Capanema (PA)";"Total";"Total";"59,84"
"1502301";"Capitão Poço (PA)";"Total";"Total";"3,17"
"1502400";"Castanhal (PA)";"Total";"Total";"35,51"
"1502509";"Chaves (PA)";"Total";"Total";"1,86"
"1502608";"Colares (PA)";"Total";"Total";"1,90"
"1502707";"Conceição do Araguaia (PA)";"Total";"Total";"4,72"
"1502756";"Concórdia do Pará (PA)";"Total";"Total";"6,62"
"1502764";"Cumaru do Norte (PA)";"Total";"Total";"1,55"
"1502772";"Curionópolis (PA)";"Total";"Total";"4,42"
"1502806";"Curralinho (PA)";"Total";"Total";"1,33"
"1502855";"Curuá (PA)";"Total";"Total";"1,06"
"1502905";"Curuçá (PA)";"Total";"Total";"22,72"
"1502939";"Dom Eliseu (PA)";"Total";"Total";"6,45"
"1502954";"Eldorado do Carajás (PA)";"Total";"Total";"7,36"
"1503002";"Faro (PA)";"Total";"Total";"1,93"
"1503044";"Floresta do Araguaia (PA)";"Total";"Total";"0,64"
"1503077";"Garrafão do Norte (PA)";"Total";"Total";"0,88"
"1503093";"Goianésia do Pará (PA)";"Total";"Total";"8,49"
"1503101";"Gurupá (PA)";"Total";"Total";"5,41"
"1503200";"Igarapé-Açu (PA)";"Total";"Total";"1,56"
"1503309";"Igarapé-Miri (PA)";"Total";"Total";"3,35"
"1503408";"Inhangapi (PA)";"Total";"Total";"20,78"
"1503457";"Ipixuna do Pará (PA)";"Total";"Total";"25,65"
