"Tabela 3218 - Domicílios particulares permanentes, por forma de abastecimento de água, segundo a existência de banheiro ou sanitário e esgotamento sanitário, o destino do lixo e a existência de energia elétrica"
"Variável - Domicílios particulares permanentes - percentual do total geral"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Ano x Forma de abastecimento de água x Existência de banheiro ou sanitário e esgotamento sanitário"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"2010"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Total"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Total"
"1502764";"Cumaru do Norte (PA)";"Coletado";"Total";"26,67"
"1502772";"Curionópolis (PA)";"Coletado";"Total";"46,46"
"1502806";"Curralinho (PA)";"Coletado";"Total";"31,25"
"1502855";"Curuá (PA)";"Coletado";"Total";"18,09"
"1502905";"Curuçá (PA)";"Coletado";"Total";"51,90"
"1502939";"Dom Eliseu (PA)";"Coletado";"Total";"71,34"
"1502954";"Eldorado do Carajás (PA)";"Coletado";"Total";"32,12"
"1503002";"Faro (PA)";"Coletado";"Total";"38,01"
"1503044";"Floresta do Araguaia (PA)";"Coletado";"Total";"27,91"
"1503077";"Garrafão do Norte (PA)";"Coletado";"Total";"29,82"
"1503093";"Goianésia do Pará (PA)";"Coletado";"Total";"61,93"
"1503101";"Gurupá (PA)";"Coletado";"Total";"35,87"
"1503200";"Igarapé-Açu (PA)";"Coletado";"Total";"65,60"
"1503309";"Igarapé-Miri (PA)";"Coletado";"Total";"45,42"
"1503408";"Inhangapi (PA)";"Coletado";"Total";"34,08"
"1503457";"Ipixuna do Pará (PA)";"Coletado";"Total";"46,24"
"1503507";"Irituia (PA)";"Coletado";"Total";"29,69"
"1503606";"Itaituba (PA)";"Coletado";"Total";"76,44"
"1503705";"Itupiranga (PA)";"Coletado";"Total";"47,21"
"1503754";"Jacareacanga (PA)";"Coletado";"Total";"35,14"
"1503804";"Jacundá (PA)";"Coletado";"Total";"80,20"
"1503903";"Juruti (PA)";"Coletado";"Total";"51,32"
"1504000";"Limoeiro do Ajuru (PA)";"Coletado";"Total";"25,16"
"1504059";"Mãe do Rio (PA)";"Coletado";"Total";"83,70"
"1504109";"Magalhães Barata (PA)";"Coletado";"Total";"37,51"
"1504208";"Marabá (PA)";"Coletado";"Total";"78,53"
